"","EstID","Company.x","State","Zip","Company.y","Size2","Beef_Slaughter","Pork_Slaughter","Chicken_Slaughter","Catfish_Products","Egg_Products","StateName"
"3433",12767,"A.T.A. Meat Company, Inc.","FL","33311","A.T.A. Meat Company, Inc.","Small",FALSE,NA,NA,NA,NA,"Florida"
"3434",12774,"Fair Market Inc.","MO","63361","Fair Market Inc.","Small",FALSE,NA,NA,NA,NA,"Missouri"
"3435",12778,"Midwest Refrigerated Services","KS","66115","Midwest Refrigerated Services","Small",FALSE,NA,NA,NA,NA,"Kansas"
"3436",12780,"Creminelli Fine Meats","UT","84116","Creminelli Fine Meats","Small",FALSE,NA,NA,NA,NA,"Utah"
"3437",12787,"Alnoor Halal Poultry Market","NY","11232","Alnoor Halal Poultry Market","Small",FALSE,NA,TRUE,NA,NA,"New York"
"3438",12795,"Cargill Meat Solutions","SC","29172","Cargill Meat Solutions","Small",FALSE,NA,NA,NA,NA,"South Carolina"
"3439",12798,"New Day Farms, LLC - Farm 3","OH","43358","New Day Farms, LLC - Farm 3","Small",FALSE,NA,NA,NA,TRUE,"Ohio"
"3440",12799,"Cabal Sausage Company, LLC","VA","22030","Cabal Sausage Company, LLC","Small",FALSE,NA,NA,NA,NA,"Virginia"
"3441",12801,"Azoria Food Productions, LLC","AZ","85040","Azoria Food Productions, LLC","Small",FALSE,NA,NA,NA,NA,"Arizona"
"3442",12803,"Rachael's Food Corporation","MA","01013","Rachael's Food Corporation","Small",FALSE,NA,NA,NA,NA,"Massachusetts"
"3443",12805,"Bar-S Foods","OK","74868","Bar-S Foods","Small",FALSE,NA,NA,NA,NA,"Oklahoma"
